FID,STATUS,PTYPE,NAME,ADDRESS,CITY,ST,ZIPCODE,PHONE,SHAPE_Length,SHAPE_Area
1,OPEN,SEAPORT,PORT OF MIAMI, 1015 N AMERICA WY,MIAMI,FL,33132,,9925.44858098385,2606889.42250312
2,OPEN,RIVERPORT,PORT OF MIAMI RIVER,3001 NW SOUTH RIVER DR,MIAMI,FL,33142,,18426.7305547074,661731.674569189
3,OPEN,AIRPORT,MIAMI INTERNATIONAL AIRPORT,4200 NW 21ST ST,MIAMI,FL,33122,305-878-7550,17791.0606636254,13691063.0956621
4,OPEN,AIRPORT,DADE-COLLIER TRAINING AND TRANSITION,54575 E TAMIAMI TR,OCHOPEE,FL,34141,239-695-3300,11320.2624173619,3441912.67478344
5,OPEN,AIRPORT,OPA LOCKA EXECUTIVE AIRPORT,14300 NW 41ST AV,MIAMI,FL,33054,305-869-1660,12050.0504410347,8241094.77972639
6,CLOSED,AIRPORT,OPA LOCKA WEST AIRPORT, NW 186TH ST / NW 137TH AV,MIAMI,FL,33018,,6913.3352337686,2071016.65358137
7,OPEN,SEAPLANE BASE,MIAMI SEAPLANE BASE, 1099 MACARTHUR CSWY,MIAMI,FL,33132,305-577-9484,1877.98563640686,71609.0703029521
8,OPEN,AIRPORT,HOMESTEAD AIR RESERVE BASE,BUILDING 757 ST. NAZIRE BLVD,HOMESTEAD,FL,33039,305-258-6360,19793.1365453101,9830931.62136988
9,OPEN,AIRPORT,HOMESTEAD GENERAL AVIATION,28700 SW 217TH AV,HOMESTEAD,FL,33030,305-247-4883,10460.7959413413,3844886.93463741
10,OPEN,AIRPORT,KENDALL-TAMIAMI EXECUTIVE AIRPORT,12800 SW 137TH AV,MIAMI,FL,33186,305-869-1700,12297.0150109417,7143864.32309331
